## Source: NCM Modelling Guide 2021 Edition (England), Table 32, p60
## Document: ncm_modelling_guide_2021_edition_england_21dec2021.pdf
## Extracted: 2026-02-07
## Context: Fuel CO2 emission and primary energy factors for district heat networks
fuel_type,co2_kgco2_per_kwh,primary_energy_kwhpe_per_kwh,notes
"Heat from boilers - mains gas",0.210,1.130,""
"Heat from boilers - LPG",0.241,1.141,""
"Heat from boilers - oil (gas oil)",0.335,1.180,""
"Heat from boilers - mineral oil or biodiesel",0.335,1.180,""
"Heat from boilers - HVO from used cooking oil",0.036,1.180,""
"Heat from boilers - FAME from animal/vegetable oils",0.018,1.180,""
"Heat from boilers - B30D",0.269,1.090,""
"Heat from boilers - coal",0.375,1.064,""
"Heat from electric heat pump",0.136,1.501,""
"Heat recovered from waste combustion",0.015,0.063,""
"Heat from boilers - biomass",0.029,1.037,""
"Heat from boilers - biogas (landfill or sewage gas)",0.024,1.286,""
"Heat recovered from power stations",0.015,0.063,""
"High grade heat recovered from process",0.011,0.051,""
"Low grade heat recovered from process",0.136,1.501,""
"Heat recovered from geothermal or other natural",0.011,0.051,""
"Heat from CHP",,,  "As above according to fuel used"
"Electricity for pumping in distribution network",0.136,1.501,""
"Electricity generated by new CHP - export only",0.394,2.345,""
"Electricity generated by new CHP - flexible operation",0.420,2.369,""
"Electricity generated by new CHP - standard",0.311,2.107,""
"Electricity generated by existing CHP (2015+) - export only",0.394,2.345,""
